,sketch_id,game_id,animal,cardinality,trial_num,condition,block,clfScore_animal,clfScore_cardinality
21,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_6_27_number_owl_6_053,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,6,27.0,number,4.0,owl,8
22,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_7_23_number_owl_7_010,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,7,23.0,number,3.0,deer,8
23,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_owl_8_3_number_owl_8_095,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,owl,8,3.0,number,1.0,bear,7
24,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_1_9_number_rabbit_1_066,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,1,9.0,number,2.0,deer,1
25,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_2_2_number_rabbit_2_068,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,2,2.0,number,1.0,owl,2
26,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_3_8_number_rabbit_3_042,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,3,8.0,number,1.0,owl,3
27,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_4_21_number_rabbit_4_045,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,4,21.0,number,3.0,deer,6
28,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_5_32_number_rabbit_5_047,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,5,32.0,number,4.0,bear,6
29,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_6_16_number_rabbit_6_062,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,6,16.0,number,2.0,bear,5
30,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_7_28_number_rabbit_7_061,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,7,28.0,number,4.0,deer,8
31,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d_rabbit_8_18_number_rabbit_8_007,0074-988d4ee1-5766-47b5-bcbb-49a720aee30d,rabbit,8,18.0,number,3.0,deer,8
32,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_1_27_number_bear_1_053,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,1,27.0,number,4.0,deer,2
33,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_2_20_number_bear_2_068,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,2,20.0,number,3.0,bear,2
34,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_3_13_number_bear_3_064,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,3,13.0,number,2.0,deer,3
35,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_4_7_number_bear_4_059,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,4,7.0,number,1.0,bear,2
36,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_5_24_number_bear_5_017,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,5,24.0,number,3.0,bear,8
37,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_6_9_number_bear_6_044,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,6,9.0,number,2.0,bear,6
38,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_7_32_number_bear_7_021,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,7,32.0,number,4.0,bear,7
39,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_bear_8_4_number_bear_8_014,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,bear,8,4.0,number,1.0,deer,5
40,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_1_3_number_deer_1_006,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,1,3.0,number,1.0,owl,1
41,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_2_11_number_deer_2_047,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,2,11.0,number,2.0,bear,2
42,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_3_26_number_deer_3_094,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,3,26.0,number,4.0,rabbit,2
43,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_4_23_number_deer_4_049,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,4,23.0,number,3.0,rabbit,7
44,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_5_14_number_deer_5_020,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,5,14.0,number,2.0,rabbit,4
45,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_6_30_number_deer_6_060,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,6,30.0,number,4.0,rabbit,4
46,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_7_5_number_deer_7_091,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,7,5.0,number,1.0,owl,6
47,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_deer_8_18_number_deer_8_039,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,deer,8,18.0,number,3.0,rabbit,8
48,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_1_15_number_owl_1_046,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,1,15.0,number,2.0,deer,1
49,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_2_2_number_owl_2_059,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,2,2.0,number,1.0,rabbit,1
50,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_3_21_number_owl_3_086,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,3,21.0,number,3.0,owl,1
51,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_4_29_number_owl_4_079,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,4,29.0,number,4.0,rabbit,3
52,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_5_6_number_owl_5_045,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,5,6.0,number,1.0,deer,8
53,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_6_19_number_owl_6_097,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,6,19.0,number,3.0,bear,8
54,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_7_10_number_owl_7_058,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,7,10.0,number,2.0,owl,8
55,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_owl_8_25_number_owl_8_098,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,owl,8,25.0,number,4.0,rabbit,8
56,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_1_22_number_rabbit_1_043,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,1,22.0,number,3.0,deer,1
57,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_2_28_number_rabbit_2_017,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,2,28.0,number,4.0,bear,1
58,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_3_8_number_rabbit_3_038,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,3,8.0,number,1.0,bear,7
59,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_4_12_number_rabbit_4_073,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,4,12.0,number,2.0,deer,3
60,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_5_31_number_rabbit_5_001,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,5,31.0,number,4.0,deer,4
61,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_6_1_number_rabbit_6_062,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,6,1.0,number,1.0,bear,6
62,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_7_17_number_rabbit_7_061,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,7,17.0,number,3.0,bear,8
63,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d_rabbit_8_16_number_rabbit_8_080,0095-d4a81902-118c-4dda-bf91-6522bd3c1b7d,rabbit,8,16.0,number,2.0,bear,8
64,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_1_7_shape_bear_1_068,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,1,7.0,shape,1.0,bear,2
65,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_2_2_shape_bear_2_000,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,2,2.0,shape,1.0,bear,2
66,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_3_26_shape_bear_3_038,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,3,26.0,shape,4.0,bear,6
67,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_4_14_shape_bear_4_055,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,4,14.0,shape,2.0,bear,1
68,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_5_9_shape_bear_5_073,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,5,9.0,shape,2.0,bear,1
69,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_6_23_shape_bear_6_008,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,6,23.0,shape,3.0,bear,8
70,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_7_29_shape_bear_7_027,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,7,29.0,shape,4.0,bear,8
71,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_bear_8_19_shape_bear_8_052,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,bear,8,19.0,shape,3.0,bear,6
72,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_1_21_shape_deer_1_059,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,1,21.0,shape,3.0,deer,8
73,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_2_18_shape_deer_2_048,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,2,18.0,shape,3.0,deer,6
74,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_3_5_shape_deer_3_050,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,3,5.0,shape,1.0,deer,2
75,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_4_30_shape_deer_4_025,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,4,30.0,shape,4.0,deer,4
76,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_5_27_shape_deer_5_043,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,5,27.0,shape,4.0,deer,8
77,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_6_16_shape_deer_6_056,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,6,16.0,shape,2.0,deer,2
78,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_7_3_shape_deer_7_064,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,7,3.0,shape,1.0,rabbit,2
79,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_deer_8_12_shape_deer_8_045,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,deer,8,12.0,shape,2.0,deer,1
80,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_1_10_shape_owl_1_009,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,1,10.0,shape,2.0,owl,4
81,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_2_13_shape_owl_2_094,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,2,13.0,shape,2.0,bear,6
82,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_3_20_shape_owl_3_085,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,3,20.0,shape,3.0,owl,1
83,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_4_6_shape_owl_4_014,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,4,6.0,shape,1.0,owl,2
84,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_5_4_shape_owl_5_077,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,5,4.0,shape,1.0,owl,1
85,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_6_28_shape_owl_6_093,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,6,28.0,shape,4.0,owl,1
86,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_7_22_shape_owl_7_000,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,7,22.0,shape,3.0,owl,1
87,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_owl_8_31_shape_owl_8_042,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,owl,8,31.0,shape,4.0,deer,6
88,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_1_25_shape_rabbit_1_041,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,1,25.0,shape,4.0,rabbit,1
89,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_2_32_shape_rabbit_2_065,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,2,32.0,shape,4.0,rabbit,3
90,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_3_11_shape_rabbit_3_020,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,3,11.0,shape,2.0,rabbit,2
91,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_4_24_shape_rabbit_4_062,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,4,24.0,shape,3.0,rabbit,2
92,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_5_17_shape_rabbit_5_057,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,5,17.0,shape,3.0,rabbit,6
93,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_6_8_shape_rabbit_6_081,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,6,8.0,shape,1.0,rabbit,1
94,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_7_15_shape_rabbit_7_006,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,7,15.0,shape,2.0,rabbit,1
95,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786_rabbit_8_1_shape_rabbit_8_007,0196-4a8ca8ea-c82c-4f36-af78-e3374d339786,rabbit,8,1.0,shape,1.0,deer,6
96,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_1_15_shape_bear_1_010,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,1,15.0,shape,2.0,rabbit,3
97,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_2_30_shape_bear_2_024,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,2,30.0,shape,4.0,bear,3
98,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_3_18_shape_bear_3_099,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,3,18.0,shape,3.0,rabbit,4
99,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_4_8_shape_bear_4_033,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,4,8.0,shape,1.0,bear,3
100,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_5_12_shape_bear_5_087,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,5,12.0,shape,2.0,rabbit,3
101,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_6_28_shape_bear_6_093,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,6,28.0,shape,4.0,rabbit,7
102,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_7_24_shape_bear_7_002,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,7,24.0,shape,3.0,owl,3
103,0215-2671868a-4819-49c7-9d88-a41191b25eb3_bear_8_1_shape_bear_8_056,0215-2671868a-4819-49c7-9d88-a41191b25eb3,bear,8,1.0,shape,1.0,bear,7
104,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_1_26_shape_deer_1_001,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,1,26.0,shape,4.0,deer,7
105,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_2_20_shape_deer_2_098,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,2,20.0,shape,3.0,deer,8
106,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_3_4_shape_deer_3_011,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,3,4.0,shape,1.0,owl,1
107,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_4_9_shape_deer_4_049,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,4,9.0,shape,2.0,deer,8
108,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_5_32_shape_deer_5_031,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,5,32.0,shape,4.0,deer,7
109,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_6_21_shape_deer_6_094,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,6,21.0,shape,3.0,deer,7
110,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_7_7_shape_deer_7_050,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,7,7.0,shape,1.0,deer,5
111,0215-2671868a-4819-49c7-9d88-a41191b25eb3_deer_8_14_shape_deer_8_010,0215-2671868a-4819-49c7-9d88-a41191b25eb3,deer,8,14.0,shape,2.0,deer,2
112,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_1_2_shape_owl_1_042,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,1,2.0,shape,1.0,rabbit,6
113,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_2_10_shape_owl_2_076,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,2,10.0,shape,2.0,owl,7
114,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_3_29_shape_owl_3_075,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,3,29.0,shape,4.0,owl,8
115,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_4_22_shape_owl_4_087,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,4,22.0,shape,3.0,owl,1
116,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_5_5_shape_owl_5_096,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,5,5.0,shape,1.0,deer,3
117,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_6_16_shape_owl_6_097,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,6,16.0,shape,2.0,deer,4
118,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_7_25_shape_owl_7_080,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,7,25.0,shape,4.0,owl,6
119,0215-2671868a-4819-49c7-9d88-a41191b25eb3_owl_8_17_shape_owl_8_059,0215-2671868a-4819-49c7-9d88-a41191b25eb3,owl,8,17.0,shape,3.0,owl,4
120,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_1_19_shape_rabbit_1_013,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,1,19.0,shape,3.0,rabbit,1
121,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_2_6_shape_rabbit_2_017,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,2,6.0,shape,1.0,deer,6
122,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_3_11_shape_rabbit_3_025,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,3,11.0,shape,2.0,owl,5
123,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_4_27_shape_rabbit_4_010,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,4,27.0,shape,4.0,deer,2
124,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_5_23_shape_rabbit_5_027,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,5,23.0,shape,3.0,owl,5
125,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_6_3_shape_rabbit_6_086,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,6,3.0,shape,1.0,rabbit,3
126,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_7_13_shape_rabbit_7_032,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,7,13.0,shape,2.0,owl,8
127,0215-2671868a-4819-49c7-9d88-a41191b25eb3_rabbit_8_31_shape_rabbit_8_082,0215-2671868a-4819-49c7-9d88-a41191b25eb3,rabbit,8,31.0,shape,4.0,owl,1
128,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_1_24_shape_bear_1_092,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,1,24.0,shape,3.0,bear,1
129,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_2_20_shape_bear_2_063,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,2,20.0,shape,3.0,bear,6
130,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_3_12_shape_bear_3_050,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,3,12.0,shape,2.0,bear,1
131,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_4_8_shape_bear_4_088,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,4,8.0,shape,1.0,bear,1
132,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_5_27_shape_bear_5_055,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,5,27.0,shape,4.0,bear,6
133,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_6_3_shape_bear_6_067,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,6,3.0,shape,1.0,bear,3
134,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_7_16_shape_bear_7_075,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,7,16.0,shape,2.0,bear,1
135,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_bear_8_29_shape_bear_8_036,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,bear,8,29.0,shape,4.0,bear,6
136,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933_deer_1_32_shape_deer_1_037,0304-a93c4bf1-c4f9-46e4-b8a1-dd2359a31933,deer,1,32.0,shape,4.0,deer,4
